id,month_year,relevance_score,Topic,Country,Confidence,Most_freq_country,Name,Recoded_countries,Remaining_non_countries,z_nature,z_society,z_culture,z_greenwashing_discourse,z_greenwashing_claims,z_transformative_discourse,z_transformative_action,z_greenwashing,z_transformativeness,Meta_Category
1,2022-10-01,0.9974769949913024,27.0,,,,27_distributed storage_vision web_storage ecosystem_decentralized web,,,0.031494140625,0.0804443359375,0.0256805419921875,0.0025844573974609,0.015655517578125,0.93017578125,0.0112457275390625,0.015655517578125,0.0112457275390625,Harnessing technology for futures
2,2022-10-01,0.9498892426490784,3.0,120 countries,High,120 countries,3_oceans day_world oceans_oceans future_ocean day,,120 countries,0.06695556640625,0.89794921875,0.030242919921875,0.038116455078125,0.332275390625,0.9619140625,0.9423828125,0.332275390625,0.9423828125,Reviving ecosystems and species
3,2022-10-01,0.9745987057685852,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.943359375,0.09967041015625,0.1474609375,0.0010147094726562,0.07928466796875,0.90380859375,0.89453125,0.07928466796875,0.89453125,Reviving ecosystems and species
4,2022-10-01,0.7602361440658569,86.0,,Low,,86_raise children_future children_children future_children better,,,0.142822265625,0.1148681640625,0.08233642578125,0.020416259765625,0.0173797607421875,0.77734375,0.323974609375,0.0173797607421875,0.323974609375,Harnessing technology for futures
5,2022-10-01,0.8620967864990234,23.0,,Low,,23_create life_life want_want year_future self,,,0.83642578125,0.876953125,0.87646484375,0.0015325546264648,0.0044937133789062,0.95068359375,0.1072998046875,0.0044937133789062,0.1072998046875,"Health, lifestyle and cultural richness"
6,2022-10-01,0.9600039124488832,100.0,,,,100_nature relationship_human nature_nature_future relationships,,,0.92333984375,0.022430419921875,0.90185546875,0.05902099609375,0.057891845703125,0.5498046875,0.2301025390625,0.057891845703125,0.2301025390625,Reviving ecosystems and species
7,2022-10-01,0.9336115717887878,30.0,,Low,Wales,30_solarpower renewableenergy_energy solar_solar energy_solarenergy solarpower,United Kingdom,,0.79296875,0.9521484375,0.03936767578125,0.0058860778808593,0.0177154541015625,0.9736328125,0.9384765625,0.0177154541015625,0.9384765625,Harnessing technology for futures
8,2022-10-01,0.9895613193511964,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.0005030632019042,0.032012939453125,0.0046195983886718,0.0007023811340332,0.021697998046875,0.58203125,0.0026359558105468,0.021697998046875,0.0026359558105468,Reviving ecosystems and species
9,2022-10-01,0.766799807548523,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.10430908203125,0.11358642578125,0.367919921875,0.0117568969726562,0.051300048828125,0.9267578125,0.0631103515625,0.051300048828125,0.0631103515625,Reviving ecosystems and species
10,2022-10-01,0.9884001612663268,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.7841796875,0.96337890625,0.0360107421875,0.0169830322265625,0.046783447265625,0.98095703125,0.93408203125,0.046783447265625,0.93408203125,Reviving ecosystems and species
11,2022-10-01,0.9731598496437072,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.2998046875,0.460693359375,0.394287109375,0.0036869049072265,0.0264129638671875,0.18212890625,0.0723876953125,0.0264129638671875,0.0723876953125,Reviving ecosystems and species
12,2022-10-01,0.9080601930618286,10.0,California,High,California,10_city nature_city vision_nature urban_urban nature,United States,,0.057708740234375,0.119140625,0.0032539367675781,0.0001599788665771,0.001418113708496,0.72607421875,0.0117721557617187,0.001418113708496,0.0117721557617187,Reviving ecosystems and species
13,2022-10-01,0.9951502084732056,75.0,,Low,,75_naturepositive future_nature benefits_nature based_nature related,,,0.869140625,0.94775390625,0.1512451171875,0.009613037109375,0.32373046875,0.96875,0.9306640625,0.32373046875,0.9306640625,Reviving ecosystems and species
14,2022-10-01,0.9361593127250672,34.0,,,,34_natural farming_environment agriculture_sustainable farming_sustainable agriculture,,,0.0008430480957031,0.89013671875,0.0072669982910156,0.000462532043457,0.0121078491210937,0.9658203125,0.80908203125,0.0121078491210937,0.80908203125,Reimagining production and industry
15,2022-10-01,0.9931424856185912,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.0008406639099121,0.552734375,0.0021190643310546,0.0032291412353515,0.02587890625,0.78173828125,0.2396240234375,0.02587890625,0.2396240234375,Reviving ecosystems and species
16,2022-10-01,0.8075805902481079,10.0,,,,10_city nature_city vision_nature urban_urban nature,,,0.3701171875,0.311279296875,0.2138671875,0.37451171875,0.080322265625,0.90576171875,0.95849609375,0.080322265625,0.95849609375,Reviving ecosystems and species
17,2022-10-01,0.998560070991516,-1.0,Wales,High,Wales,-1_environment future_sustainable future_worldenvironmentday_sustainable,United Kingdom,,0.289794921875,0.6025390625,0.76708984375,0.0005354881286621,0.0016489028930664,0.486328125,0.15673828125,0.0016489028930664,0.15673828125,Reviving ecosystems and species
18,2022-10-01,0.911879539489746,72.0,,,,72_future indigenous_indigenouspeoples_indigenous peoples_indigenous people,,,0.2763671875,0.29150390625,0.1878662109375,0.0015277862548828,0.0051193237304687,0.94384765625,0.0855712890625,0.0051193237304687,0.0855712890625,Inclusive and equal future
19,2022-10-01,0.955720603466034,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.385986328125,0.51953125,0.0082855224609375,0.0010204315185546,0.22216796875,0.416015625,0.76318359375,0.22216796875,0.76318359375,Reviving ecosystems and species
20,2022-10-01,0.9372642040252686,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.51513671875,0.10650634765625,0.41796875,0.027099609375,0.0772705078125,0.84814453125,0.08154296875,0.0772705078125,0.08154296875,Reviving ecosystems and species
21,2022-10-01,0.985296905040741,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.037994384765625,0.05010986328125,0.0755615234375,0.0030460357666015,0.0130157470703125,0.51904296875,0.0079345703125,0.0130157470703125,0.0079345703125,Reviving ecosystems and species
22,2022-10-01,0.9547191262245178,12.0,Australia,High,Australia,12_meat future_future vegan_food future_future food,Australia,,0.87841796875,0.06732177734375,0.053436279296875,0.0005688667297363,0.0018777847290039,0.822265625,0.95263671875,0.0018777847290039,0.95263671875,"Health, lifestyle and cultural richness"
23,2022-10-01,0.760951817035675,-1.0,,,,-1_environment future_sustainable future_worldenvironmentday_sustainable,,,0.0036869049072265,0.1300048828125,0.073974609375,0.0012750625610351,0.0150680541992187,0.95751953125,0.0065879821777343,0.0150680541992187,0.0065879821777343,Reviving ecosystems and species
24,2022-10-01,0.9837234020233154,16.0,,,,16_vote future_vote_ballot_vote blue,,,0.0061454772949218,0.712890625,0.0836181640625,0.0132675170898437,0.060272216796875,0.888671875,0.252197265625,0.060272216796875,0.252197265625,Shaping governance for collective futures
25,2022-10-01,0.9832069277763368,57.0,European Union,High,European Union,57_nature mother_mother nature_future mothers_nature future,,European Union,0.79052734375,0.74658203125,0.0877685546875,0.02789306640625,0.203857421875,0.99853515625,0.46142578125,0.203857421875,0.46142578125,Reviving ecosystems and species
26,2022-10-01,0.9726439118385316,23.0,,,,23_create life_life want_want year_future self,,,0.92578125,0.1715087890625,0.68212890625,0.0025558471679687,0.0131301879882812,0.1519775390625,0.50830078125,0.0131301879882812,0.50830078125,"Health, lifestyle and cultural richness"
27,2022-10-01,0.945315420627594,71.0,Nigeria,High,Nigeria,71_nigeria future_future nigeria_nigeria commitment_nigeria vision,Nigeria,,0.0190277099609375,0.11138916015625,0.0186004638671875,0.0012636184692382,0.0068359375,0.81640625,0.1744384765625,0.0068359375,0.1744384765625,Shaping governance for collective futures
28,2022-10-01,0.8963848948478699,43.0,,,,43_sustainablefinance_stock market_finance_investing,,,0.050994873046875,0.31884765625,0.1341552734375,0.0067062377929687,0.159423828125,0.6337890625,0.09002685546875,0.159423828125,0.09002685546875,Reimagining production and industry
