author_id,lang,id,text,created_at,in_reply_to_user_id
3714660325134,en,146339927781439259,New policy debate in Lithuania: will US EPA guidelines help towns balance housing with green space? #Sustainability #Rewilding https://t.co/RwLM5BqwkX,2013-08-19T12:07:15.000Z,779780619128226
28990608,en,170086700757449512,Thread: how EU Commission's pilot in Amazon helped communities monitor local wetlands without big budgets. 1/5,2015-11-29T10:37:33.000Z,
678220482,en,6066233099443001601,"In Brussels, Germany, we co-design a future that will steward nature for all. WWF shows what's possible when communities lead. #Forests #Restoration #Nature @USFS",2018-11-05T19:08:46.000Z,
93602037,en,1722087696227540083,“We shape the places that shape us.” Field notes from Oslo.,2014-05-30T16:00:08.000Z,810246489
27275367,en,886158817726961733,"Join us in Helsinki for a community tree-planting day this Saturday. Tools provided, all welcome! #ClimateAction",2017-07-21T07:02:33.000Z,64592319531583
21594466506532,en,5534238573532250456,New policy debate in Germany: will IPBES guidelines help towns balance housing with green space? #Nature,2013-12-02T22:23:31.000Z,
7930951595154870,en,1356791202331938,"If we had kept old hedgerows in Finland, how different would farmland birds look today? ",2016-03-13T13:16:16.000Z,
24021519387463773,en,188482053271996691,"Photo from dawn in Oslo. Quiet water, heron fishing, city waking up. #ClimateAction #GreenFuture",2017-11-11T06:51:45.000Z,
184385411081503951,en,302680734303928620,"Grant open: Forest Service funding community-led restoration in Poland. Short proposals, practical outcomes.",2017-06-12T10:39:24.000Z,
13891138386636,en,49538302638374082,Thread: how NOAA's pilot in Nairobi helped communities protect local wetlands without big budgets. 1/5,2019-11-18T19:15:47.000Z,
92234302,en,6407269475053528,Update: IPBES team repaired boardwalks in Turku; access restored and safer for all.,2017-03-31T21:21:41.000Z,
773634014884,en,6784159617795337826,"Join us in Wales for a community tree-planting day this Saturday. Tools provided, all welcome!",2022-05-23T18:44:50.000Z,
575196458,en,64644670485401398,Serious question for Canada: do urban parks need more native plants or just better access? Thoughts? #NaturePositive #UrbanNature,2018-12-07T12:44:48.000Z,
383817416800459746,en,1746293443376407590,Update: Kenya Wildlife Service team repaired boardwalks in Glasgow; access restored and safer for all.,2023-05-18T16:22:20.000Z,
41755152869847555,en,980603627420539924,"Ambition is good, but metrics matter. IPBES targets need clearer baselines and timelines. Otherwise it's just slogans. #NaturePositive #Restoration",2015-10-23T05:55:26.000Z,
2067106992976067,en,676328327081128890,"In Saimaa, Kenya, we debate a future that will monitor nature for all. Parks Canada shows what's possible when communities lead. #Peatlands #Sustainability #UrbanNature @UNEP https://t.co/JrDagBvwPU",2015-02-11T12:38:55.000Z,
47702819970666850,en,301302845055766845,"Notice: invasive species clean-up this Sunday across Norway, led by @DefraGovUK. Bags and gloves provided.",2017-08-08T01:29:13.000Z,
